UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
1894,2023-03-19,嘉義縣,布袋鎮,50~54,2
1895,2023-01-28,嘉義縣,布袋鎮,60~64,3
1896,2022-11-21,嘉義縣,布袋鎮,70+,12
