UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
1918,2023-02-18,嘉義縣,番路鄉,70+,8
1919,2022-06-30,嘉義縣,番路鄉,40~44,1
1920,2022-06-04,嘉義縣,番路鄉,50~54,1
