UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
1881,2023-03-22,嘉義縣,竹崎鄉,70+,31
1882,2023-03-12,嘉義縣,竹崎鄉,55~59,3
1883,2023-01-14,嘉義縣,竹崎鄉,60~64,4
1884,2022-10-22,嘉義縣,竹崎鄉,65~69,2
