UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
720,2023-03-27,台北市,文山區,70+,156
721,2023-03-13,台北市,文山區,65~69,12
722,2023-01-20,台北市,文山區,55~59,5
723,2023-01-09,台北市,文山區,45~49,2
724,2022-12-30,台北市,文山區,40~44,1
725,2022-10-07,台北市,文山區,60~64,7
726,2022-06-07,台北市,文山區,50~54,4
727,2022-05-15,台北市,文山區,0~4,1
