UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
926,2023-05-10,新北市,三重區,60~64,25
927,2023-04-11,新北市,三重區,65~69,43
928,2023-03-29,新北市,三重區,70+,215
929,2023-03-09,新北市,三重區,55~59,14
930,2023-02-14,新北市,三重區,50~54,8
931,2023-02-07,新北市,三重區,25~29,2
932,2023-02-03,新北市,三重區,40~44,5
933,2022-09-11,新北市,三重區,10~14,1
934,2022-06-14,新北市,三重區,35~39,1
935,2022-06-10,新北市,三重區,45~49,4
