UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
1125,2023-05-04,苗栗縣,南庄鄉,70+,14
1126,2022-06-17,苗栗縣,南庄鄉,60~64,2
1127,2022-05-23,苗栗縣,南庄鄉,65~69,1
