UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
998,2023-04-08,新北市,中和區,70+,247
999,2023-03-12,新北市,中和區,60~64,17
1000,2023-03-03,新北市,中和區,50~54,7
1001,2023-02-11,新北市,中和區,65~69,36
1002,2023-01-16,新北市,中和區,45~49,4
1003,2023-01-15,新北市,中和區,40~44,2
1004,2023-01-08,新北市,中和區,55~59,12
1005,2022-10-24,新北市,中和區,30~34,1
1006,2022-06-05,新北市,中和區,35~39,2
1007,2022-05-06,新北市,中和區,20~24,1
1008,2022-04-19,新北市,中和區,0~4,1
