UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
189,2023-02-13,高雄市,內門區,70+,17
190,2022-07-03,高雄市,內門區,65~69,1
191,2022-06-06,高雄市,內門區,55~59,1
