UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
1619,2022-12-01,雲林縣,褒忠鄉,70+,12
1620,2022-06-12,雲林縣,褒忠鄉,65~69,1
1621,2022-06-08,雲林縣,褒忠鄉,60~64,1
