UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
637,2023-02-06,台東縣,池上鄉,70+,5
638,2022-07-14,台東縣,池上鄉,45~49,1
639,2022-06-01,台東縣,池上鄉,60~64,1
