UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
1897,2023-03-18,嘉義縣,溪口鄉,60~64,2
1898,2023-02-13,嘉義縣,溪口鄉,70+,13
1899,2022-10-05,嘉義縣,溪口鄉,55~59,2
1900,2022-06-21,嘉義縣,溪口鄉,50~54,1
