UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
969,2023-04-18,新北市,三芝區,70+,20
970,2022-11-17,新北市,三芝區,65~69,5
971,2022-09-19,新北市,三芝區,60~64,1
972,2022-05-30,新北市,三芝區,40~44,1
973,2021-07-03,新北市,三芝區,55~59,1
