UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
1,2023-09-17,台北市,全區,85.10,81.30,0.60,70.50,25.10,0.00,0.00,0.00
2,2023-09-17,台北市,6個月-4歲,38.90,24.50,3.80,0.60,0.00,0.00,0.00,0.00
3,2023-09-17,台北市,5-11歲,74.00,57.20,0.50,19.20,0.20,0.00,0.00,0.00
4,2023-09-17,台北市,12-17歲,88.80,81.60,0.10,59.70,8.10,0.00,0.00,0.00
5,2023-09-17,台北市,18-29歲,90.80,88.10,0.30,76.80,13.60,0.00,0.00,0.00
6,2023-09-17,台北市,30-49歲,89.90,87.70,0.50,80.40,23.80,0.00,0.00,0.00
7,2023-09-17,台北市,50-64歲,86.90,84.80,0.50,77.80,32.00,0.00,0.00,0.00
8,2023-09-17,台北市,65-74歲,84.80,82.80,0.60,76.90,41.20,13.40,0.00,0.00
9,2023-09-17,台北市,75歲以上,82.40,79.40,0.80,72.30,41.50,13.70,0.00,0.00
256,2023-09-10,台北市,全區,85.20,81.30,0.60,70.60,25.10,0.00,0.00,0.00
257,2023-09-10,台北市,6個月-4歲,39.20,24.60,3.90,0.60,0.00,0.00,0.00,0.00
258,2023-09-10,台北市,5-11歲,74.10,57.30,0.50,19.30,0.20,0.00,0.00,0.00
259,2023-09-10,台北市,12-17歲,88.80,81.70,0.10,59.90,8.20,0.00,0.00,0.00
260,2023-09-10,台北市,18-29歲,90.90,88.20,0.30,76.90,13.70,0.00,0.00,0.00
261,2023-09-10,台北市,30-49歲,89.90,87.80,0.50,80.50,23.80,0.00,0.00,0.00
262,2023-09-10,台北市,50-64歲,86.90,84.80,0.50,77.80,32.00,0.00,0.00,0.00
263,2023-09-10,台北市,65-74歲,84.70,82.70,0.60,76.80,41.20,13.40,0.00,0.00
264,2023-09-10,台北市,75歲以上,82.30,79.30,0.80,72.20,41.40,13.70,0.00,0.00
511,2023-09-03,台北市,全區,85.20,81.30,0.60,70.60,25.10,0.00,0.00,0.00
512,2023-09-03,台北市,6個月-4歲,39.40,24.80,3.90,0.60,0.00,0.00,0.00,0.00
513,2023-09-03,台北市,5-11歲,74.20,57.40,0.50,19.30,0.20,0.00,0.00,0.00
514,2023-09-03,台北市,12-17歲,88.90,81.80,0.10,60.00,8.20,0.00,0.00,0.00
515,2023-09-03,台北市,18-29歲,91.00,88.20,0.30,77.00,13.70,0.00,0.00,0.00
516,2023-09-03,台北市,30-49歲,90.00,87.80,0.50,80.50,23.80,0.00,0.00,0.00
517,2023-09-03,台北市,50-64歲,87.00,84.90,0.50,77.80,32.00,0.00,0.00,0.00
518,2023-09-03,台北市,65-74歲,84.70,82.70,0.60,76.80,41.20,13.40,0.00,0.00
519,2023-09-03,台北市,75歲以上,82.20,79.30,0.80,72.10,41.40,13.60,0.00,0.00
766,2023-08-27,台北市,全區,85.20,81.40,0.60,70.60,25.10,0.00,0.00,0.00
767,2023-08-27,台北市,6個月-4歲,39.70,24.90,3.90,0.60,0.00,0.00,0.00,0.00
768,2023-08-27,台北市,5-11歲,74.30,57.50,0.50,19.40,0.20,0.00,0.00,0.00
769,2023-08-27,台北市,12-17歲,88.90,81.80,0.10,60.20,8.20,0.00,0.00,0.00
770,2023-08-27,台北市,18-29歲,91.10,88.30,0.30,77.10,13.70,0.00,0.00,0.00
771,2023-08-27,台北市,30-49歲,90.00,87.90,0.50,80.60,23.90,0.00,0.00,0.00
772,2023-08-27,台北市,50-64歲,87.00,84.90,0.50,77.90,32.00,0.00,0.00,0.00
773,2023-08-27,台北市,65-74歲,84.60,82.60,0.60,76.70,41.20,13.30,0.00,0.00
774,2023-08-27,台北市,75歲以上,82.10,79.20,0.80,72.00,41.30,13.60,0.00,0.00
1021,2023-08-20,台北市,全區,85.30,81.50,0.60,70.70,25.10,0.00,0.00,0.00
1022,2023-08-20,台北市,6個月-4歲,39.80,25.00,3.90,0.60,0.00,0.00,0.00,0.00
1023,2023-08-20,台北市,5-11歲,74.60,57.70,0.50,19.50,0.20,0.00,0.00,0.00
1024,2023-08-20,台北市,12-17歲,89.70,82.60,0.10,60.80,8.30,0.00,0.00,0.00
1025,2023-08-20,台北市,18-29歲,91.00,88.20,0.30,77.00,13.70,0.00,0.00,0.00
1026,2023-08-20,台北市,30-49歲,90.10,88.00,0.50,80.60,23.90,0.00,0.00,0.00
1027,2023-08-20,台北市,50-64歲,87.00,84.90,0.50,77.90,32.00,0.00,0.00,0.00
1028,2023-08-20,台北市,65-74歲,84.90,82.80,0.60,77.00,41.30,13.40,0.00,0.00
1029,2023-08-20,台北市,75歲以上,82.30,79.30,0.80,72.10,41.40,13.60,0.00,0.00
1276,2023-08-13,台北市,全區,85.40,81.50,0.60,70.70,25.10,0.00,0.00,0.00
1277,2023-08-13,台北市,6個月-4歲,40.10,25.10,3.90,0.60,0.00,0.00,0.00,0.00
1278,2023-08-13,台北市,5-11歲,74.70,57.80,0.50,19.60,0.20,0.00,0.00,0.00
1279,2023-08-13,台北市,12-17歲,89.70,82.70,0.10,61.00,8.30,0.00,0.00,0.00
1280,2023-08-13,台北市,18-29歲,91.00,88.30,0.30,77.00,13.70,0.00,0.00,0.00
1281,2023-08-13,台北市,30-49歲,90.10,88.00,0.50,80.60,23.90,0.00,0.00,0.00
1282,2023-08-13,台北市,50-64歲,87.00,84.90,0.50,77.90,32.10,0.00,0.00,0.00
1283,2023-08-13,台北市,65-74歲,84.80,82.80,0.60,76.90,41.30,13.40,0.00,0.00
1284,2023-08-13,台北市,75歲以上,82.10,79.20,0.80,72.00,41.30,13.60,0.00,0.00
1531,2023-08-06,台北市,全區,85.40,81.50,0.60,70.70,25.10,0.00,0.00,0.00
1532,2023-08-06,台北市,6個月-4歲,40.30,25.30,3.90,0.50,0.00,0.00,0.00,0.00
1533,2023-08-06,台北市,5-11歲,74.80,57.90,0.40,19.60,0.20,0.00,0.00,0.00
1534,2023-08-06,台北市,12-17歲,89.80,82.80,0.10,61.20,8.40,0.00,0.00,0.00
1535,2023-08-06,台北市,18-29歲,91.10,88.30,0.30,77.10,13.70,0.00,0.00,0.00
1536,2023-08-06,台北市,30-49歲,90.20,88.00,0.50,80.70,23.90,0.00,0.00,0.00
1537,2023-08-06,台北市,50-64歲,87.10,84.90,0.50,77.90,32.10,0.00,0.00,0.00
1538,2023-08-06,台北市,65-74歲,84.80,82.70,0.60,76.90,41.30,13.40,0.00,0.00
1539,2023-08-06,台北市,75歲以上,82.10,79.10,0.80,71.90,41.30,13.60,0.00,0.00
1786,2023-07-30,台北市,全區,85.40,81.60,0.60,70.80,25.10,0.00,0.00,0.00
1787,2023-07-30,台北市,6個月-4歲,40.60,25.40,3.90,0.50,0.00,0.00,0.00,0.00
1788,2023-07-30,台北市,5-11歲,74.90,58.00,0.40,19.70,0.20,0.00,0.00,0.00
1789,2023-07-30,台北市,12-17歲,89.90,82.90,0.10,61.40,8.40,0.00,0.00,0.00
1790,2023-07-30,台北市,18-29歲,91.20,88.40,0.30,77.20,13.70,0.00,0.00,0.00
1791,2023-07-30,台北市,30-49歲,90.20,88.00,0.50,80.70,23.90,0.00,0.00,0.00
1792,2023-07-30,台北市,50-64歲,87.10,85.00,0.50,77.90,32.10,0.00,0.00,0.00
1793,2023-07-30,台北市,65-74歲,84.70,82.70,0.60,76.80,41.30,13.40,0.00,0.00
1794,2023-07-30,台北市,75歲以上,82.00,79.00,0.80,71.80,41.20,13.60,0.00,0.00
2041,2023-07-23,台北市,全區,85.40,81.60,0.60,70.80,25.10,0.00,0.00,0.00
2042,2023-07-23,台北市,6個月-4歲,40.80,25.50,3.90,0.50,0.00,0.00,0.00,0.00
2043,2023-07-23,台北市,5-11歲,75.00,58.20,0.40,19.70,0.20,0.00,0.00,0.00
2044,2023-07-23,台北市,12-17歲,89.90,82.90,0.10,61.50,8.40,0.00,0.00,0.00
2045,2023-07-23,台北市,18-29歲,91.30,88.50,0.30,77.20,13.70,0.00,0.00,0.00
2046,2023-07-23,台北市,30-49歲,90.20,88.10,0.50,80.70,23.90,0.00,0.00,0.00
2047,2023-07-23,台北市,50-64歲,87.10,85.00,0.50,77.90,32.10,0.00,0.00,0.00
2048,2023-07-23,台北市,65-74歲,84.60,82.60,0.60,76.70,41.20,13.40,0.00,0.00
2049,2023-07-23,台北市,75歲以上,81.90,78.90,0.80,71.80,41.20,13.50,0.00,0.00
2296,2023-07-16,台北市,全區,85.60,81.70,0.60,70.90,25.20,0.00,0.00,0.00
2297,2023-07-16,台北市,6個月-4歲,40.80,25.50,3.90,0.50,0.00,0.00,0.00,0.00
2298,2023-07-16,台北市,5-11歲,75.20,58.40,0.40,19.80,0.20,0.00,0.00,0.00
2299,2023-07-16,台北市,12-17歲,90.50,83.60,0.10,62.10,8.50,0.00,0.00,0.00
2300,2023-07-16,台北市,18-29歲,91.20,88.40,0.30,77.20,13.70,0.00,0.00,0.00
2301,2023-07-16,台北市,30-49歲,90.30,88.20,0.50,80.80,23.90,0.00,0.00,0.00
2302,2023-07-16,台北市,50-64歲,87.20,85.10,0.50,78.00,32.10,0.00,0.00,0.00
2303,2023-07-16,台北市,65-74歲,84.90,82.90,0.60,77.00,41.40,13.40,0.00,0.00
2304,2023-07-16,台北市,75歲以上,82.10,79.10,0.80,71.90,41.20,13.60,0.00,0.00
2551,2023-07-09,台北市,全區,85.60,81.70,0.60,70.90,25.20,0.00,0.00,0.00
2552,2023-07-09,台北市,6個月-4歲,41.00,25.60,3.90,0.50,0.00,0.00,0.00,0.00
2553,2023-07-09,台北市,5-11歲,75.30,58.50,0.40,19.90,0.20,0.00,0.00,0.00
2554,2023-07-09,台北市,12-17歲,90.50,83.60,0.10,62.20,8.50,0.00,0.00,0.00
2555,2023-07-09,台北市,18-29歲,91.30,88.50,0.30,77.20,13.70,0.00,0.00,0.00
2556,2023-07-09,台北市,30-49歲,90.30,88.20,0.50,80.80,23.90,0.00,0.00,0.00
2557,2023-07-09,台北市,50-64歲,87.20,85.10,0.50,78.00,32.10,0.00,0.00,0.00
2558,2023-07-09,台北市,65-74歲,84.90,82.80,0.60,77.00,41.40,13.40,0.00,0.00
2559,2023-07-09,台北市,75歲以上,82.00,79.00,0.80,71.80,41.20,13.50,0.00,0.00
2806,2023-07-02,台北市,全區,85.60,81.70,0.60,70.90,25.20,0.00,0.00,0.00
2807,2023-07-02,台北市,6個月-4歲,41.20,25.70,3.90,0.50,0.00,0.00,0.00,0.00
2808,2023-07-02,台北市,5-11歲,75.50,58.60,0.40,19.90,0.20,0.00,0.00,0.00
