UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
1914,2023-02-25,嘉義縣,中埔鄉,70+,31
1915,2023-02-08,嘉義縣,中埔鄉,60~64,4
1916,2022-10-06,嘉義縣,中埔鄉,65~69,2
1917,2022-09-25,嘉義縣,中埔鄉,55~59,1
