UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
1676,2023-03-20,彰化縣,竹塘鄉,70+,10
1677,2022-10-10,彰化縣,竹塘鄉,60~64,1
1678,2022-05-15,彰化縣,竹塘鄉,65~69,1
