UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
977,2023-04-11,新北市,土城區,70+,110
978,2023-03-19,新北市,土城區,55~59,11
979,2023-03-08,新北市,土城區,40~44,3
980,2023-03-01,新北市,土城區,60~64,16
981,2023-02-25,新北市,土城區,65~69,18
982,2022-12-30,新北市,土城區,0~4,1
983,2022-06-27,新北市,土城區,35~39,3
984,2022-06-23,新北市,土城區,50~54,3
985,2022-06-05,新北市,土城區,45~49,1
986,2022-05-21,新北市,土城區,20~24,1
