UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
589,2023-02-16,新竹縣,尖石鄉,55~59,1
590,2022-08-27,新竹縣,尖石鄉,70+,1
591,2022-06-20,新竹縣,尖石鄉,40~44,1
