UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
1576,2023-03-20,雲林縣,水林鄉,50~54,1
1577,2023-03-16,雲林縣,水林鄉,70+,18
1578,2022-08-23,雲林縣,水林鄉,60~64,1
1579,2022-08-02,雲林縣,水林鄉,55~59,1
