UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
1998,2022-08-15,澎湖縣,白沙鄉,70+,2
1999,2022-07-19,澎湖縣,白沙鄉,65~69,1
2000,2022-06-01,澎湖縣,白沙鄉,45~49,1
