UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
1588,2023-03-10,雲林縣,四湖鄉,70+,19
1589,2022-10-04,雲林縣,四湖鄉,55~59,2
1590,2022-07-28,雲林縣,四湖鄉,40~44,1
1591,2022-07-06,雲林縣,四湖鄉,45~49,1
