UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
1433,2023-03-20,台南市,關廟區,70+,18
1434,2023-02-23,台南市,關廟區,55~59,3
1435,2022-08-19,台南市,關廟區,60~64,1
1436,2022-06-29,台南市,關廟區,45~49,1
1437,2022-06-23,台南市,關廟區,65~69,1
