UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
28,2023-09-17,台中市,全區,89.40,85.00,1.20,73.50,27.00,0.00,0.00,0.00
29,2023-09-17,台中市,6個月-4歲,46.20,30.60,5.00,0.70,0.00,0.00,0.00,0.00
30,2023-09-17,台中市,5-11歲,82.50,64.90,0.50,22.60,0.20,0.00,0.00,0.00
31,2023-09-17,台中市,12-17歲,93.40,86.20,0.50,66.10,18.40,0.00,0.00,0.00
32,2023-09-17,台中市,18-29歲,95.20,92.30,0.60,81.20,14.40,0.00,0.00,0.00
33,2023-09-17,台中市,30-49歲,93.10,90.40,1.00,82.30,22.10,0.00,0.00,0.00
34,2023-09-17,台中市,50-64歲,90.00,87.60,1.10,80.90,34.20,0.00,0.00,0.00
35,2023-09-17,台中市,65-74歲,90.40,88.20,1.70,83.70,62.10,36.00,0.00,0.00
36,2023-09-17,台中市,75歲以上,84.80,81.30,2.10,75.90,58.80,34.80,0.00,0.00
283,2023-09-10,台中市,全區,89.40,85.00,1.20,73.50,27.00,0.00,0.00,0.00
284,2023-09-10,台中市,6個月-4歲,46.50,30.80,5.00,0.70,0.00,0.00,0.00,0.00
285,2023-09-10,台中市,5-11歲,82.50,64.90,0.50,22.70,0.20,0.00,0.00,0.00
286,2023-09-10,台中市,12-17歲,93.40,86.30,0.50,66.30,18.50,0.00,0.00,0.00
287,2023-09-10,台中市,18-29歲,95.30,92.30,0.60,81.30,14.40,0.00,0.00,0.00
288,2023-09-10,台中市,30-49歲,93.10,90.40,1.00,82.30,22.10,0.00,0.00,0.00
289,2023-09-10,台中市,50-64歲,90.00,87.60,1.10,80.90,34.20,0.00,0.00,0.00
290,2023-09-10,台中市,65-74歲,90.30,88.10,1.70,83.60,62.10,36.00,0.00,0.00
291,2023-09-10,台中市,75歲以上,84.70,81.20,2.10,75.80,58.70,34.80,0.00,0.00
538,2023-09-03,台中市,全區,89.40,85.00,1.20,73.50,27.00,0.00,0.00,0.00
539,2023-09-03,台中市,6個月-4歲,46.80,31.00,5.00,0.70,0.00,0.00,0.00,0.00
540,2023-09-03,台中市,5-11歲,82.60,65.00,0.50,22.80,0.20,0.00,0.00,0.00
