UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
586,2023-02-24,新竹縣,寶山鄉,70+,4
587,2022-07-04,新竹縣,寶山鄉,55~59,1
588,2022-05-29,新竹縣,寶山鄉,40~44,1
