UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
190,2023-09-17,連江縣,全區,93.00,90.40,0.40,85.60,28.50,0.00,0.00,0.00
191,2023-09-17,連江縣,6個月-4歲,43.80,31.30,3.90,0.80,0.00,0.00,0.00,0.00
192,2023-09-17,連江縣,5-11歲,85.60,70.30,0.50,32.60,0.20,0.00,0.00,0.00
193,2023-09-17,連江縣,12-17歲,97.90,93.60,0.00,80.30,27.00,0.00,0.00,0.00
194,2023-09-17,連江縣,18-29歲,97.60,96.40,0.20,91.90,19.60,0.00,0.00,0.00
195,2023-09-17,連江縣,30-49歲,96.30,94.90,0.30,93.10,28.00,0.00,0.00,0.00
196,2023-09-17,連江縣,50-64歲,93.60,92.20,0.50,90.50,33.20,0.00,0.00,0.00
197,2023-09-17,連江縣,65-74歲,95.40,94.70,0.30,96.50,49.00,14.60,0.00,0.00
198,2023-09-17,連江縣,75歲以上,89.90,87.00,0.30,86.90,48.30,12.80,0.00,0.00
445,2023-09-10,連江縣,全區,92.80,90.30,0.40,85.40,28.40,0.00,0.00,0.00
446,2023-09-10,連江縣,6個月-4歲,44.00,31.50,3.90,0.80,0.00,0.00,0.00,0.00
447,2023-09-10,連江縣,5-11歲,85.60,70.30,0.50,32.60,0.20,0.00,0.00,0.00
448,2023-09-10,連江縣,12-17歲,97.60,93.30,0.00,80.30,27.00,0.00,0.00,0.00
449,2023-09-10,連江縣,18-29歲,96.90,95.80,0.20,91.20,19.40,0.00,0.00,0.00
450,2023-09-10,連江縣,30-49歲,96.30,94.80,0.30,93.10,28.00,0.00,0.00,0.00
451,2023-09-10,連江縣,50-64歲,93.50,92.20,0.50,90.50,33.10,0.00,0.00,0.00
452,2023-09-10,連江縣,65-74歲,95.20,94.50,0.30,96.40,48.90,14.50,0.00,0.00
453,2023-09-10,連江縣,75歲以上,89.90,86.90,0.30,86.70,48.30,12.80,0.00,0.00
700,2023-09-03,連江縣,全區,92.90,90.40,0.40,85.50,28.50,0.00,0.00,0.00
701,2023-09-03,連江縣,6個月-4歲,44.20,31.70,3.90,0.80,0.00,0.00,0.00,0.00
702,2023-09-03,連江縣,5-11歲,85.60,70.30,0.50,32.60,0.20,0.00,0.00,0.00
703,2023-09-03,連江縣,12-17歲,97.60,93.30,0.00,80.30,27.00,0.00,0.00,0.00
