UID,最後統計日期,縣市,鄉鎮,年齡層,累計死亡人數
1278,2023-03-11,基隆市,七堵區,60~64,4
1279,2023-03-05,基隆市,七堵區,70+,29
1280,2022-12-26,基隆市,七堵區,55~59,1
1281,2022-10-27,基隆市,七堵區,65~69,2
1282,2022-09-23,基隆市,七堵區,30~34,1
1283,2022-08-15,基隆市,七堵區,40~44,1
1284,2022-06-29,基隆市,七堵區,50~54,2
